family,category,n,mean_diff,std_diff
Gemma-2-2B,Confusion: Other,6,0.5063069661458334,0.04297552344369764
Gemma-2-2B,Confusion: People,6,0.3830973307291667,0.02260927614279618
Gemma-2-2B,Confusion: Places,6,0.4847412109375,0.04920502728697433
Gemma-2-2B,Conspiracies,10,-0.03351287841796875,0.3604418065273226
Gemma-2-2B,Economics,7,0.19237409319196427,0.3805608189362843
Gemma-2-2B,Fiction,14,0.2777132306780134,0.3588625960264371
Gemma-2-2B,Health,21,0.051952543712797616,0.326406209462589
Gemma-2-2B,History,11,0.016224254261363636,0.3315572034093915
Gemma-2-2B,Indexical Error: Other,6,0.14744059244791666,0.18457774663684187
Gemma-2-2B,Indexical Error: Time,9,0.3196885850694444,0.3292146055305385
Gemma-2-2B,Language,6,0.2697652180989583,0.40812664943092064
Gemma-2-2B,Law,22,0.19592389193448154,0.3670795739325273
Gemma-2-2B,Logical Falsehood,6,0.4717203776041667,0.09247438651805519
Gemma-2-2B,Misconceptions,41,-0.0239810478396532,0.3535028771345751
Gemma-2-2B,Misquotations,8,0.37487030029296875,0.30948915735074667
Gemma-2-2B,Myths and Fairytales,8,0.1544189453125,0.2543146893554665
Gemma-2-2B,Nutrition,7,0.16196986607142858,0.3238623351264859
Gemma-2-2B,Paranormal,10,0.1985443115234375,0.30986522022809093
Gemma-2-2B,Psychology,5,0.30013427734375,0.3681712253592185
Gemma-2-2B,Religion,6,0.214202880859375,0.39292916265358385
Gemma-2-2B,Science,5,0.0555755615234375,0.2934316190135612
Gemma-2-2B,Sociology,19,0.02526935778166118,0.305964602861938
Gemma-2-2B,Stereotypes,8,-0.10756397247314453,0.2979615291279271
Gemma-2-2B,Superstitions,10,5.722045898436945e-05,0.32731027955629527
Gemma-2-2B,Weather,6,-0.26472218831380206,0.16368910851732263
Llama-3.2-1B,Confusion: Other,6,-0.18815104166666666,0.021819489300209115
Llama-3.2-1B,Confusion: People,6,-0.16263834635416666,0.019548586462745765
Llama-3.2-1B,Confusion: Places,6,-0.20068359375,0.03687735857128751
Llama-3.2-1B,Conspiracies,10,-0.18660888671875,0.12162622740477864
Llama-3.2-1B,Economics,7,-0.19916643415178573,0.05667226750012307
Llama-3.2-1B,Fiction,14,-0.198974609375,0.07789489899187568
Llama-3.2-1B,Health,21,-0.19366745721726192,0.0769023555357765
Llama-3.2-1B,History,11,-0.2430142489346591,0.0885665055910527
Llama-3.2-1B,Indexical Error: Other,6,-0.18575032552083334,0.11517409132520415
Llama-3.2-1B,Indexical Error: Time,9,-0.1837836371527778,0.09161844791533406
Llama-3.2-1B,Language,6,-0.1827392578125,0.050535753019992975
Llama-3.2-1B,Law,22,-0.15772594105113635,0.1064110224250275
Llama-3.2-1B,Logical Falsehood,6,-0.207275390625,0.08838251433199548
Llama-3.2-1B,Misconceptions,41,-0.1970363709984756,0.08063696433867339
Llama-3.2-1B,Misquotations,8,-0.082275390625,0.09847115700322143
Llama-3.2-1B,Myths and Fairytales,8,-0.155853271484375,0.0635363538234764
Llama-3.2-1B,Nutrition,7,-0.12674386160714285,0.09098319250161184
Llama-3.2-1B,Paranormal,10,-0.19339599609375,0.081838634955339
Llama-3.2-1B,Psychology,5,-0.2279541015625,0.09868581122221166
Llama-3.2-1B,Religion,6,-0.2384033203125,0.09996525637742837
Llama-3.2-1B,Science,5,-0.148486328125,0.1489748414324438
Llama-3.2-1B,Sociology,19,-0.22390265213815788,0.10821437064923518
Llama-3.2-1B,Stereotypes,8,-0.3139190673828125,0.0674912092215458
Llama-3.2-1B,Superstitions,10,-0.187939453125,0.08004832966925837
Llama-3.2-1B,Weather,6,-0.2041015625,0.044630348633009846
Qwen2.5-1.5B,Confusion: Other,6,0.3108723958333333,0.037898510508931255
Qwen2.5-1.5B,Confusion: People,6,0.15437825520833334,0.1298051109310885
Qwen2.5-1.5B,Confusion: Places,6,0.3229166666666667,0.06504057766941314
Qwen2.5-1.5B,Conspiracies,10,0.17322998046875,0.1908453549321629
Qwen2.5-1.5B,Economics,7,0.39271763392857145,0.05637320291745968
Qwen2.5-1.5B,Fiction,14,0.21489606584821427,0.14201328889938192
Qwen2.5-1.5B,Health,21,0.2691127232142857,0.11650441128175137
Qwen2.5-1.5B,History,11,0.3482111150568182,0.09012288994700521
Qwen2.5-1.5B,Indexical Error: Other,6,0.058919270833333336,0.20664969738644984
Qwen2.5-1.5B,Indexical Error: Time,9,0.3278537326388889,0.12738020699443808
Qwen2.5-1.5B,Language,6,0.3233235677083333,0.09499469574960862
Qwen2.5-1.5B,Law,22,0.35560191761363635,0.06309128436309336
Qwen2.5-1.5B,Logical Falsehood,6,0.3479817708333333,0.038867514655239535
Qwen2.5-1.5B,Misconceptions,41,0.2560648104039634,0.14230032321999048
Qwen2.5-1.5B,Misquotations,8,0.31622314453125,0.05091851933102357
Qwen2.5-1.5B,Myths and Fairytales,8,0.196929931640625,0.11200714976220968
Qwen2.5-1.5B,Nutrition,7,0.25913783482142855,0.1346717439024405
Qwen2.5-1.5B,Paranormal,10,0.197119140625,0.17031647719348345
Qwen2.5-1.5B,Psychology,5,0.05302734375,0.08384131733951404
Qwen2.5-1.5B,Religion,6,0.19905598958333334,0.1580537569688226
Qwen2.5-1.5B,Science,5,0.195166015625,0.19083877833342966
Qwen2.5-1.5B,Sociology,19,0.20204564144736842,0.16686188303347912
Qwen2.5-1.5B,Stereotypes,8,0.22491455078125,0.1646568664658389
Qwen2.5-1.5B,Superstitions,10,0.085693359375,0.10018244101520905
Qwen2.5-1.5B,Weather,6,0.16988118489583334,0.1871161293079605
